BuildingID,BuildingName,BuildingType,Town,Latitude,Longitude,Technology,Vendor,Installation Date,On Air Date,BTS Present,BTS Name,MAIN FAT,Switch,BTS SiteID,Location,Status,SwitchIP
KKM142424,West Kenya Sugar MD Residence,Single-Tenancy,Kakamega,,,Fiber,Thrust Bore Techniques (TBT),03/02/2018 18:05,03/02/2018 18:05,,,ATB,,,Kakamega,Installed,
NBI441761,West Nairobi School,Single-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,Karen,,
NBI542434,West Park Suites,Multi-Tenancy,Nairobi,,,Fiber,Huawei,13/09/2017 20:28,13/09/2017 20:28,,,,Huawei S3300,,Ojijo Road Parklands,Installed,10.165.56.50
NBI542561,West Point Westlands,Multi-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,Mpaka Road,,
NBI441350,Westcom Point,Multi-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,"Mahiga Mairu Rd, Westlands",,
KSM241301,WestEnd,Multi-Tenancy,Kisumu,,,Fiber,Ericsson,01/01/1900 00:00,01/01/1900 00:00,,,,,,Kisumu,,
NBI243157,WESTEND PLACE LANGATA,Multi-Tenancy,Nairobi,"S 1 18' 51.05""","E 36 49' 02.81""",Fiber,Huawei,28/11/2018 15:24,28/11/2018 15:24,,,,,,MAI MAHIU RD,Installed,
NBI141044,WESTEND TOWERS,Multi-Tenancy,Nairobi,,,Fiber,,01/01/1900 00:00,01/01/1900 00:00,,,,,,Waiyaki Way,,
NBI542288,Western Heights,Multi-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,Westlands,,
KTL142734,WESTERN SEED COMPANY,Single-Tenancy,Kitale,,,Fiber,Masaba Services,18/06/2018 16:22,18/06/2018 16:22,,,ATB,,,Maziwa Road,Installed,
NBI243242,WESTFIELD,Multi-Tenancy,Nairobi,01 17 24.32 S,36 46 24.44 E,Fiber,Huawei,16/01/2019 18:24,16/01/2019 18:24,,,,,,GITANGA ROAD,Installed,
NBI241432,WESTGATE MALL,Multi-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,Parkands Road,,
NBI542681,Westlands Arcade,Multi-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,WAIYAKI WAY,,
NBI240089,Westlands Business Park,Multi-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,"Chiromo Lane, Westlands",Installed,
NBI541266,Westlands Office Park,Single-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,,,,,,"Waiyaki Way, Next to Safaricom HQ",,
NBI240442,Westlands Square Building,Multi-Tenancy,Nairobi,,,Fiber,Huawei,01/01/1900 00:00,01/01/1900 00:00,No,,48C,Huawei S3300,,"Westlands Roundabout, Uchumi Westlands",Installed,10.163.70.56
