District,Cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous_Chicken,Chicken_Commercial,Bee_Hives,County,Location_1,Province,OBJECTID
TURKANA NORTH,652288,1274062,1874668,269185,194434,132,23876,3441,307,Turkana,"(4.31378822, 35.09717514)",RIFE VALLEY,147
TURKANA SOUTH,685832,1682418,2846748,412577,273686,218,114068,8230,30289,Turkana,"(2.078370044, 35.99979492)",RIFE VALLEY,148
VIHIGA,59588,3747,14323,1,298,486,199210,15368,598,Vihiga,"(0.079761357, 34.72682968)",WESTERN,149
WAJIR EAST,159846,460690,720936,167764,32192,2,35265,10145,390,Wajir,"(2.195672158, 40.36685178)",NORTH EASTERN,150
WAJIR NORTH,189707,192787,300079,161958,23681,1,41780,3549,327,Wajir,"(2.931162031, 39.5873795)",NORTH EASTERN,151
WAJIR SOUTH,331458,389482,464512,97111,29113,,27298,3650,414,Wajir,"(0.974263337, 40.34314459)",NORTH EASTERN,152
WAJIR WEST,113541,363924,380699,106818,30517,,35767,4793,141,Wajir,"(1.920164855, 39.5240015)",NORTH EASTERN,153
WARENG,85421,55837,6514,,2105,6374,168639,44609,6312,Uasin Gishu,"(0.299690606, 35.33850049)",RIFE VALLEY,154
WEST POKOT,129475,114050,173693,294,8243,149,143426,8397,32080,West Pokot,"(1.492414256, 35.16354392)",RIFE VALLEY,155
WESTLANDS,10153,3465,3666,,651,1513,14691,30477,607,Nairobi,"(-1.246976295, 36.7882561)",NAIROBI,156
YATTA,94779,35321,263080,1,10828,405,237075,15843,23288,Machakos,"(-1.060809489, 37.60220541)",EASTERN,157
